Exchange,Symbol,Shortname
NMS,SNPS,"Synopsys, Inc."
NYQ,ADM,Archer-Daniels-Midland Company
NMS,FTNT,"Fortinet, Inc."
NYQ,DOW,Dow Inc.
NYQ,AIG,"American International Group, I"
NYQ,MCK,McKesson Corporation
NYQ,ECL,Ecolab Inc.
NYQ,CNC,Centene Corporation
NMS,NXPI,NXP Semiconductors N.V.
NYQ,LHX,"L3Harris Technologies, Inc."
NYQ,PSX,Phillips 66
NMS,MNST,Monster Beverage Corporation
NMS,EXC,Exelon Corporation
NYQ,STZ,"Constellation Brands, Inc."
NYQ,WMB,"Williams Companies, Inc. (The)"
NMS,PAYX,"Paychex, Inc."
NYQ,KMI,"Kinder Morgan, Inc."
NMS,ADSK,"Autodesk, Inc."
NYQ,CTVA,"Corteva, Inc."
NMS,KHC,The Kraft Heinz Company
NYQ,ROP,"Roper Technologies, Inc."
NMS,CDNS,"Cadence Design Systems, Inc."
NYQ,KMB,Kimberly-Clark Corporation
NYQ,TRV,"The Travelers Companies, Inc."
NYQ,AZO,"AutoZone, Inc."
NYQ,SYY,Sysco Corporation
NYQ,HSY,The Hershey Company
NYQ,TEL,TE Connectivity Ltd. New Switze
NYQ,IQV,"IQVIA Holdings, Inc."
NYQ,RSG,"Republic Services, Inc."
NYQ,APH,Amphenol Corporation
NMS,ORLY,"O'Reilly Automotive, Inc."
NYQ,HPQ,HP Inc.
NMS,CTAS,Cintas Corporation
NYQ,GIS,"General Mills, Inc."
NMS,WBD,"Warner Bros. Discovery, Inc. - "
NMS,XEL,Xcel Energy Inc.
NYQ,PRU,"Prudential Financial, Inc."
NYQ,HLT,Hilton Worldwide Holdings Inc.
NYQ,HES,Hess Corporation
NMS,EA,Electronic Arts Inc.
NYQ,AFL,AFLAC Incorporated
NMS,CTSH,Cognizant Technology Solutions 
NMS,MCHP,Microchip Technology Incorporat
NYQ,CMG,"Chipotle Mexican Grill, Inc."
NYQ,JCI,Johnson Controls International 
NYQ,A,"Agilent Technologies, Inc."
NYQ,WELL,Welltower Inc.
NYQ,O,Realty Income Corporation
NYQ,DLR,"Digital Realty Trust, Inc."
NYQ,KR,Kroger Company (The)
NYQ,NUE,Nucor Corporation
NYQ,HAL,Halliburton Company
NYQ,ALL,Allstate Corporation (The)
NYQ,MSI,"Motorola Solutions, Inc."
NYQ,GPN,Global Payments Inc.
NYQ,LYB,LyondellBasell Industries NV
NMS,WBA,"Walgreens Boots Alliance, Inc."
NYQ,SPG,"Simon Property Group, Inc."
NYQ,BK,The Bank of New York Mellon Cor
NYQ,MSCI,MSCI Inc
NYQ,PH,Parker-Hannifin Corporation
NMS,DLTR,"Dollar Tree, Inc."
NMS,ILMN,"Illumina, Inc."
NYQ,BAX,Baxter International Inc.
NYQ,YUM,"Yum! Brands, Inc."
NYQ,DD,"DuPont de Nemours, Inc."
NYQ,TDG,Transdigm Group Incorporated
NYQ,PEG,Public Service Enterprise Group
NYQ,ED,"Consolidated Edison, Inc."
NYQ,CARR,Carrier Global Corporation
NYQ,IFF,International Flavors & Fragran
NYQ,AJG,Arthur J. Gallagher & Co.
NYQ,WEC,"WEC Energy Group, Inc."
NYQ,TT,Trane Technologies plc
NYQ,DFS,Discover Financial Services
NMS,BKR,Baker Hughes Company
NYQ,OTIS,Otis Worldwide Corporation
NYQ,TSN,"Tyson Foods, Inc."
NYQ,TWTR,"Twitter, Inc."
NYQ,ANET,"Arista Networks, Inc."
NMS,IDXX,"IDEXX Laboratories, Inc."
NYQ,ES,Eversource Energy (D/B/A)
NMS,FAST,Fastenal Company
NYQ,RMD,ResMed Inc.
NYQ,ABC,AmerisourceBergen Corporation
NYQ,AMP,"Ameriprise Financial, Inc."
NMS,PCAR,PACCAR Inc.
NYQ,BF-B,Brown Forman Inc
NYQ,OKE,"ONEOK, Inc."
NYQ,CMI,Cummins Inc.
NMS,ODFL,"Old Dominion Freight Line, Inc."
NYQ,GLW,Corning Incorporated
NYQ,PPG,"PPG Industries, Inc."
NYQ,MTD,"Mettler-Toledo International, I"
NYQ,ALB,Albemarle Corporation
NMS,DXCM,"DexCom, Inc."
NMS,EBAY,eBay Inc.
NYQ,APTV,Aptiv PLC
NMS,BIIB,Biogen Inc.
NYQ,CTRA,Coterra Energy Inc.
NYQ,WY,Weyerhaeuser Company
NMS,FANG,"Diamondback Energy, Inc. - Comm"
NMS,TROW,"T. Rowe Price Group, Inc."
NMS,SIVB,SVB Financial Group
NYQ,AVB,"AvalonBay Communities, Inc."
NYQ,AME,"AMETEK, Inc."
NYQ,AWK,"American Water Works Company, I"
NMS,ROST,"Ross Stores, Inc."
NYQ,EQR,Equity Residential
NGM,ENPH,"Enphase Energy, Inc."
NMS,VRSK,"Verisk Analytics, Inc."
NMS,CPRT,"Copart, Inc."
NYQ,FRC,FIRST REPUBLIC BANK
NYQ,LVS,Las Vegas Sands Corp.
NYQ,KEYS,Keysight Technologies Inc.
NMS,FITB,Fifth Third Bancorp
NYQ,CBRE,CBRE Group Inc
NYQ,DHI,"D.R. Horton, Inc."
NYQ,STT,State Street Corporation
NYQ,EIX,Edison International
NYQ,LUV,Southwest Airlines Company
NYQ,GWW,"W.W. Grainger, Inc."
NYQ,DTE,DTE Energy Company
NMS,NDAQ,"Nasdaq, Inc."
NYQ,ARE,Alexandria Real Estate Equities
NYQ,DAL,"Delta Air Lines, Inc."
NYQ,ROK,"Rockwell Automation, Inc."
NYQ,MRO,Marathon Oil Corporation
NYQ,HIG,Hartford Financial Services Gro
NYQ,ZBH,"Zimmer Biomet Holdings, Inc."
NYQ,HRL,Hormel Foods Corporation
NYQ,LEN,Lennar Corporation
NYQ,EFX,"Equifax, Inc."
NYQ,ETR,Entergy Corporation
NMS,CDW,CDW Corporation
NYQ,AEE,Ameren Corporation
NYQ,EXR,Extra Space Storage Inc
NYQ,MKC,"McCormick & Company, Incorporat"
NYQ,FE,FirstEnergy Corp.
NMS,MTCH,"Match Group, Inc."
NYQ,K,Kellogg Company
NYQ,LH,Laboratory Corporation of Ameri
NYQ,WST,"West Pharmaceutical Services, I"
NYQ,MTB,M&T Bank Corporation
NMS,NTRS,Northern Trust Corporation
NMS,ANSS,"ANSYS, Inc."
NYQ,PPL,PPL Corporation
NMS,TSCO,Tractor Supply Company
NYQ,FTV,Fortive Corporation
NMS,ULTA,"Ulta Beauty, Inc."
NYQ,STE,STERIS plc (Ireland)
NYQ,VTR,"Ventas, Inc."
NYQ,URI,"United Rentals, Inc."
NYQ,VMC,Vulcan Materials Company (Holdi
NYQ,CHD,"Church & Dwight Company, Inc."
NYQ,IT,"Gartner, Inc."
NYQ,MLM,"Martin Marietta Materials, Inc."
NMS,MPWR,"Monolithic Power Systems, Inc."
NYQ,LYV,"Live Nation Entertainment, Inc."
NMS,ALGN,"Align Technology, Inc."
NYQ,MOS,Mosaic Company (The)
NYQ,RF,Regions Financial Corporation
NYQ,WAT,Waters Corporation
NYQ,CMS,CMS Energy Corporation
NMS,CINF,Cincinnati Financial Corporatio
NYQ,AMCR,Amcor plc
NYQ,IR,Ingersoll Rand Inc.
NYQ,MAA,Mid-America Apartment Communiti
NYQ,GRMN,Garmin Ltd.
NYQ,RJF,"Raymond James Financial, Inc."
NMS,HBAN,Huntington Bancshares Incorpora
NYQ,VICI,VICI Properties Inc.
NYQ,CNP,"CenterPoint Energy, Inc (Holdin"
NYQ,FLT,"FleetCor Technologies, Inc."
NYQ,DRE,Duke Realty Corporation
NYQ,GPC,Genuine Parts Company
NYQ,SYF,Synchrony Financial
NMS,VRSN,"VeriSign, Inc."
NMS,EXPE,"Expedia Group, Inc."
NYQ,HPE,Hewlett Packard Enterprise Comp
NYQ,CF,"CF Industries Holdings, Inc."
NYQ,VFC,V.F. Corporation
NYQ,SWK,"Stanley Black & Decker, Inc."
NYQ,DOV,Dover Corporation
NYQ,CTLT,"Catalent, Inc."
NYQ,EPAM,"EPAM Systems, Inc."
NYQ,TDY,Teledyne Technologies Incorpora
NMS,HOLX,"Hologic, Inc."
NYQ,PKI,"PerkinElmer, Inc."
NMS,PFG,Principal Financial Group Inc
NMS,FOX,Fox Corporation
NMS,FOXA,Fox Corporation
NYQ,PWR,"Quanta Services, Inc."
NYQ,BBY,"Best Buy Co., Inc."
NMS,STX,Seagate Technology Holdings PLC
NMS,WDC,Western Digital Corporation
NYQ,IP,International Paper Company
NMS,JBHT,"J.B. Hunt Transport Services, I"
NMS,EXPD,Expeditors International of Was
NYQ,GNRC,Generac Holdlings Inc.
NYQ,PAYC,"Paycom Software, Inc."
NYQ,ESS,"Essex Property Trust, Inc."
NYQ,KEY,KeyCorp
NMS,SWKS,"Skyworks Solutions, Inc."
NMS,ZBRA,Zebra Technologies Corporation
NYQ,J,Jacobs Engineering Group Inc.
NMS,TER,"Teradyne, Inc."
NYQ,CE,Celanese Corporation Celanese C
NYQ,CFG,"Citizens Financial Group, Inc."
NYQ,ROL,"Rollins, Inc."
NYQ,WAB,Westinghouse Air Brake Technolo
NMS,TRMB,Trimble Inc.
NYQ,BR,"Broadridge Financial Solutions,"
NYQ,COO,"The Cooper Companies, Inc."
NYQ,DGX,Quest Diagnostics Incorporated
NYQ,MOH,Molina Healthcare Inc
NYQ,BXP,"Boston Properties, Inc."
NYQ,BRO,"Brown & Brown, Inc."
NYQ,MGM,MGM Resorts International
NMS,INCY,Incyte Corporation
NMS,AKAM,"Akamai Technologies, Inc."
NYQ,CLX,Clorox Company (The)
NMS,POOL,Pool Corporation
NYQ,L,Loews Corporation
NYQ,EVRG,"Evergy, Inc."
NYQ,DRI,"Darden Restaurants, Inc."
NYQ,BIO,"Bio-Rad Laboratories, Inc."
NMS,SEDG,"SolarEdge Technologies, Inc."
NYQ,CCL,Carnival Corporation
NYQ,HWM,Howmet Aerospace Inc.
NYQ,KMX,CarMax Inc
NMS,NTAP,"NetApp, Inc."
