BTC-USD
ETH-USD
USDT-USD
USDC-USD
BNB-USD
BUSD-USD
ADA-USD
XRP-USD
SOL-USD
DOGE-USD
DOT-USD
HEX-USD
DAI-USD
WTRX-USD
TRX-USD
LEO-USD
SHIB-USD
WBTC-USD
AVAX-USD
YOUC-USD
UNI1-USD
LTC-USD
STETH-USD
MATIC-USD
FTT-USD
LINK-USD
CRO-USD
XLM-USD
NEAR-USD
ALGO-USD
BCH-USD
BTCB-USD
ATOM-USD
ETC-USD
XMR-USD
XCN1-USD
VET-USD
MANA-USD
FLOW-USD
HBAR-USD
FRAX-USD
ICP-USD
EGLD-USD
TONCOIN-USD
FIL-USD
APE3-USD
THETA-USD
XTZ-USD
HNT-USD
SAND-USD
BSV-USD
TUSD-USD
AXS-USD
KCS-USD
WBNB-USD
ZEC-USD
USDP-USD
EOS-USD
MKR-USD
AAVE-USD
HT-USD
MIOTA-USD
HBTC-USD
USDN-USD
GRT1-USD
LUSD-USD
BTT2-USD
KLAY-USD
XEC-USD
USDD-USD
WAVES-USD
OKB-USD
FTM-USD
QNT-USD
NEO-USD
PAXG-USD
RUNE-USD
BAT-USD
CHZ-USD
LRC-USD
ZIL-USD
DFI-USD
STX-USD
DASH-USD
BTT-USD
GMT3-USD
CAKE-USD
XAUT-USD
KSM-USD
FRTS-USD
FEI-USD
ENJ-USD
CRV-USD
CELO-USD
GALA-USD
AMP-USD
NEXO-USD
HOT1-USD
LUNA1-USD
1INCH-USD
